,name,version,description,keywords,dependencies,devDependencies,communityInterest,downloadsCount,downloadsAcceleration,dependentsCount,quality,popularity,maintenance
22,ms,2.1.3,Tiny millisecond conversion utility,,,"{'eslint': '4.18.2', 'expect.js': '0.3.1', 'husky': '0.14.3', 'lint-staged': '5.0.0', 'mocha': '4.0.1', 'prettier': '2.0.5'}",3788,344737764.6666667,1391854.4910768648,1686,0.8348371147464844,0.7717309653744484,0.999894531306083
23,depd,2.0.0,Deprecate all the things,"['deprecate', 'deprecated']",,"{'benchmark': '2.1.4', 'beautify-benchmark': '0.2.4', 'eslint': '5.7.0', 'eslint-config-standard': '12.0.0', 'eslint-plugin-import': '2.14.0', 'eslint-plugin-markdown': '1.0.0-beta.7', 'eslint-plugin-node': '7.0.1', 'eslint-plugin-promise': '4.0.1', 'eslint-plugin-standard': '4.0.0', 'istanbul': '0.4.5', 'mocha': '5.2.0', 'safe-buffer': '5.1.2', 'uid-safe': '2.1.5'}",376,88381469.0,199447.69533866062,564,0.8999999999999999,0.6274276658859854,0.999894531306083
24,http-errors,1.8.0,Create HTTP error objects,"['http', 'error']","{'depd': '~1.1.2', 'inherits': '2.0.4', 'setprototypeof': '1.2.0', 'statuses': '>= 1.5.0 < 2', 'toidentifier': '1.0.0'}","{'eslint': '6.8.0', 'eslint-config-standard': '14.1.1', 'eslint-plugin-import': '2.22.0', 'eslint-plugin-markdown': '1.0.2', 'eslint-plugin-node': '11.1.0', 'eslint-plugin-promise': '4.2.1', 'eslint-plugin-standard': '4.0.1', 'mocha': '8.0.1', 'nyc': '15.1.0'}",1203,140457361.0,347848.52994672745,1382,0.839663806713242,0.7120655903286734,0.999894531306083
25,inherits,2.0.4,Browser-friendly inheritance fully compatible with standard node.js inherits(),"['inheritance', 'class', 'klass', 'oop', 'object-oriented', 'inherits', 'browser', 'browserify']",,{'tap': '^14.2.4'},477,219886617.0,738381.2609969559,2360,0.8179011286168503,0.712873049688668,0.9998651952945008
26,setprototypeof,1.2.0,A small polyfill for Object.setprototypeof,"['polyfill', 'object', 'setprototypeof']",,"{'mocha': '^6.1.4', 'standard': '^13.0.2'}",63,111700711.0,273836.94461567723,213,0.9198357047686554,0.5667556201948357,0.9998889709777594
27,statuses,2.0.1,HTTP status utility,"['http', 'status', 'code']",,"{'csv-parse': '4.14.2', 'eslint': '7.17.0', 'eslint-config-standard': '14.1.1', 'eslint-plugin-import': '2.22.1', 'eslint-plugin-markdown': '1.0.2', 'eslint-plugin-node': '11.1.0', 'eslint-plugin-promise': '4.2.1', 'eslint-plugin-standard': '4.1.0', 'mocha': '8.2.1', 'nyc': '15.1.0', 'raw-body': '2.4.1', 'stream-to-array': '2.3.0'}",291,81054208.66666667,198853.6473554034,442,0.8999999999999999,0.6102434548689984,0.999894531306083
28,toidentifier,1.0.0,Convert a string of words to a JavaScript identifier,,,"{'eslint': '4.19.1', 'eslint-config-standard': '11.0.0', 'eslint-plugin-import': '2.11.0', 'eslint-plugin-markdown': '1.0.0-beta.6', 'eslint-plugin-node': '6.0.1', 'eslint-plugin-promise': '3.7.0', 'eslint-plugin-standard': '3.1.0', 'mocha': '1.21.5', 'nyc': '11.8.0'}",18,67607536.33333333,218534.28555936064,56,0.989472659492533,0.5011620646767404,0.9999405727453268
29,iconv-lite,0.6.2,Convert character encodings in pure javascript.,"['iconv', 'convert', 'charset', 'icu']",{'safer-buffer': '>= 2.1.2 < 3.0.0'},"{'async': '^3.2.0', 'c8': '^7.2.0', 'errto': '^0.2.1', 'iconv': '^2.3.5', 'mocha': '^3.5.3', 'request': '^2.88.2', 'semver': '^6.3.0', 'unorm': '^1.6.0'}",2989,121539777.66666667,375241.9327245053,2553,0.875629095060401,0.76973448546479,0.6036304566716277
30,safer-buffer,2.1.2,Modern Buffer API polyfill without footguns,,,"{'standard': '^11.0.1', 'tape': '^4.9.0'}",42,93222102.33333333,307788.67562785384,155,0.9652113103015547,0.5490742645237908,0.9998651952945008
31,on-finished,2.3.0,"Execute a callback when a request closes, finishes, or errors",,{'ee-first': '1.1.1'},"{'istanbul': '0.3.9', 'mocha': '2.2.5'}",416,63178567.666666664,149605.30028538813,769,0.9831014645372192,0.627987494807706,0.999894531306083
32,ee-first,1.1.1,return the first event in a set of ee/event pairs,,,"{'istanbul': '0.3.9', 'mocha': '2.2.5'}",65,64353911.666666664,156568.072108067,135,0.972536673362899,0.5335750950523872,0.9999405727453268
33,qs,6.10.1,"A querystring parser that supports nesting and arrays, with a depth limit","['querystring', 'qs', 'query', 'url', 'parse', 'stringify']",{'side-channel': '^1.0.4'},"{'@ljharb/eslint-config': '^17.5.1', 'aud': '^1.1.4', 'browserify': '^16.5.2', 'eclint': '^2.8.1', 'eslint': '^7.22.0', 'evalmd': '^0.0.19', 'for-each': '^0.3.3', 'has-symbols': '^1.0.2', 'iconv-lite': '^0.5.1', 'in-publish': '^2.0.1', 'mkdirp': '^0.5.5', 'nyc': '^10.3.2', 'object-inspect': '^1.9.0', 'qs-iconv': '^1.0.4', 'safe-publish-latest': '^1.1.4', 'safer-buffer': '^2.1.2', 'tape': '^5.2.2'}",6973,212771873.0,654898.609741248,6372,0.9659424515702112,0.8516037838113377,0.6666295788960543
34,side-channel,1.0.4,Store information about any JS value in a side channel. Uses WeakMap if available.,"['weakmap', 'map', 'side', 'channel', 'metadata']","{'call-bind': '^1.0.0', 'get-intrinsic': '^1.0.2', 'object-inspect': '^1.9.0'}","{'@ljharb/eslint-config': '^17.3.0', 'aud': '^1.1.3', 'auto-changelog': '^2.2.1', 'eslint': '^7.16.0', 'nyc': '^10.3.2', 'safe-publish-latest': '^1.1.4', 'tape': '^5.0.1'}",11,26944982.666666668,120850.7676369863,30,0.8068714805892145,0.4420493135626465,0.9999233855325751
35,call-bind,1.0.2,Robustly `.call.bind()` a function,"['javascript', 'ecmascript', 'es', 'js', 'callbind', 'callbound', 'call', 'bind', 'bound', 'call-bind', 'call-bound', 'function', 'es-abstract']","{'function-bind': '^1.1.1', 'get-intrinsic': '^1.0.2'}","{'@ljharb/eslint-config': '^17.3.0', 'aud': '^1.1.3', 'auto-changelog': '^2.2.1', 'eslint': '^7.17.0', 'nyc': '^10.3.2', 'safe-publish-latest': '^1.1.4', 'tape': '^5.1.1'}",5,51408470.333333336,534876.102130898,88,0.8532037387504237,0.49795969790467154,0.9998651952945008
36,function-bind,1.1.1,Implementation of Function.prototype.bind,"['function', 'bind', 'shim', 'es5']",,"{'@ljharb/eslint-config': '^12.2.1', 'covert': '^1.1.0', 'eslint': '^4.5.0', 'jscs': '^3.0.7', 'tape': '^4.8.0'}",145,74265774.33333333,266466.4475076103,194,0.9240990074750551,0.5703175207204609,0.9999405727453268
37,get-intrinsic,1.1.1,Get and robustly cache all JS language-level intrinsics at first require time,"['javascript', 'ecmascript', 'es', 'js', 'intrinsic', 'getintrinsic', 'es-abstract']","{'function-bind': '^1.1.1', 'has': '^1.0.3', 'has-symbols': '^1.0.1'}","{'@ljharb/eslint-config': '^17.5.0', 'aud': '^1.1.3', 'auto-changelog': '^2.2.1', 'call-bind': '^1.0.2', 'es-abstract': '^1.18.0-next.2', 'es-value-fixtures': '^1.0.0', 'eslint': '^7.19.0', 'evalmd': '^0.0.19', 'foreach': '^2.0.5', 'has-bigints': '^1.0.1', 'make-async-function': '^1.0.0', 'make-async-generator-function': '^1.0.0', 'make-generator-function': '^2.0.0', 'nyc': '^10.3.2', 'object-inspect': '^1.9.0', 'tape': '^5.1.1'}",5,58424139.0,573431.6617960426,48,0.9975317400828351,0.4892450330454753,0.9999116786162452
